name,run,time,zones,other,cost,ttime,v_edges,r_edges,mean_increase
London Tubes,-1,,1.0,,72.69304113752968,4.659538824543323,9,70,0.07770096522764103
Slime Mould,0,36.31730794906616,1.0,,66.944586131622,4.0972097174030155,59,96,0.03140824914985885
Slime Mould,1,50.63517093658447,1.0,,71.4299103398186,4.20022864828578,53,112,0.01664554237236704
Slime Mould,2,37.82122492790222,1.0,,70.3673152181918,4.166629237680454,57,116,0.016724508200320898
Slime Mould,3,33.40885400772095,1.0,,74.08507327407828,3.8671794002095576,51,111,0.047912843379267045
Slime Mould,4,44.858643770217896,1.0,,69.80958653670052,4.272432818607681,57,95,0.029864647534716404
Slime Mould,5,25.282521963119507,1.0,,70.35332236227954,3.987396123222409,50,130,0.0237841112625099
Slime Mould,6,43.54969811439514,1.0,,63.21208774003739,4.187869829251382,72,68,0.012744047020242455
Slime Mould,7,45.82519578933716,1.0,,61.15985885738451,4.289750070535475,60,77,0.08274620502504781
Slime Mould,8,39.95080804824829,1.0,,66.64756454490592,4.081549633248666,57,99,0.039780061718523996
Slime Mould,9,58.51698112487793,1.0,,65.1405521844175,4.134719558545962,65,82,0.025226174862838846
Slime Mould,0,45.22669005393982,1.0,gradient,57.37875771510664,4.269557865477199,65,67,0.03628512751567037
Slime Mould,1,53.63457107543945,1.0,gradient,62.03150969659641,4.145425447105276,65,83,0.011432810951810701
Slime Mould,2,59.508177042007446,1.0,gradient,62.06780411503975,4.467865667581427,58,90,0.013831444558797479
Slime Mould,3,53.4689519405365,1.0,gradient,57.435316720997854,4.171080537501708,57,91,0.014984907669571612
Slime Mould,4,56.526264905929565,1.0,gradient,61.45902901769803,4.356173728620588,63,83,0.07115258010340053
Slime Mould,5,72.58585286140442,1.0,gradient,58.7204415800793,4.227670743171516,62,84,0.007484704265790398
Slime Mould,6,67.16051030158997,1.0,gradient,60.43285571586903,4.225258462068912,62,80,0.033260035200567195
Slime Mould,7,52.27285385131836,1.0,gradient,62.65068697572272,4.174050393450113,58,97,0.04797598241276102
Slime Mould,8,35.52324199676514,1.0,gradient,57.031880209098105,4.260366860874997,66,71,0.010457150783795832
Slime Mould,9,73.66411805152893,1.0,gradient,64.91393755093657,4.357855093036615,50,106,0.052320592094367235
MST,9,0.00405120849609375,1.0,,37.69511262828415,5.820270633070634,58,0,
London Tubes,-1,,1.5,,80.54744935970423,4.771734126998659,2,85,0.07644920971521607
Slime Mould,0,52.05797100067139,1.5,,68.98848126383946,4.445482025723713,61,100,0.02364279353921983
Slime Mould,1,650.4663829803467,1.5,,73.40209520806698,4.0992562061225,66,97,0.043769991634953875
Slime Mould,2,596.5863406658173,1.5,,72.1587500093162,4.433651191083366,71,81,0.04532356212438682
Slime Mould,3,673.4904599189758,1.5,,67.26812212244555,4.596106339918122,58,110,0.014066371154418
Slime Mould,4,61.61709690093994,1.5,,75.15461925626634,4.400079875248876,51,116,0.03142348729697986
Slime Mould,5,70.14338707923889,1.5,,71.93036932497239,4.380934028161723,71,88,0.039863141420735104
Slime Mould,6,78.36008405685425,1.5,,70.9649328979201,4.4364128962685285,60,103,0.03889703298221292
Slime Mould,7,99.77692604064941,1.5,,75.29136187164278,4.459994865115661,66,108,0.00943949433761393
Slime Mould,8,74.19314193725586,1.5,,64.67074555111604,4.80687239429437,68,65,0.011437838213588236
Slime Mould,9,55.93981599807739,1.5,,69.6439174123192,4.576707288219537,73,91,0.007118241644235468
Slime Mould,0,112.560879945755,1.5,gradient,66.91761127123053,4.8315267362385335,70,74,0.018434364975278505
Slime Mould,1,84.67491912841797,1.5,gradient,69.51740931107437,4.256559274680095,53,107,0.06509373416684738
Slime Mould,2,129.73735809326172,1.5,gradient,71.11414733622654,4.487193191819703,59,110,0.022847832378650956
Slime Mould,3,73.46301126480103,1.5,gradient,70.15749843386611,4.281561874592367,53,118,0.05779591522217942
Slime Mould,4,99.1907708644867,1.5,gradient,68.08383799956955,4.466990685613863,51,106,0.07404651022459596
Slime Mould,5,88.14515900611877,1.5,gradient,69.36224776324363,4.6695675406470185,68,93,0.013606883420189675
Slime Mould,6,102.69447708129883,1.5,gradient,67.97468777803034,4.439801849256833,52,104,0.15364728308858133
Slime Mould,7,99.36984872817993,1.5,gradient,68.6352533242436,4.561895320033803,63,95,0.031150117847845493
Slime Mould,8,84.93911981582642,1.5,gradient,66.4548729760785,4.436330009692519,62,107,0.014254968753432351
Slime Mould,9,88.34805703163147,1.5,gradient,67.95528981640304,4.212133483736976,53,123,0.029104325458733094
MST,9,0.004438877105712891,1.5,,41.08333032711769,6.189909721885602,62,0,
